food-id	pubchem-id	content	reference
Plant ID:100170	5280378	Detected but not quantified	KNApSAcK
Plant ID:100170	44260113	Detected but not quantified	KNApSAcK
Plant ID:100506	1150	Detected but not quantified	KNApSAcK
Plant ID:100506	5202	Detected but not quantified	KNApSAcK
Plant ID:100506	5372945	Detected but not quantified	KNApSAcK
Plant ID:100506	10065830	Detected but not quantified	KNApSAcK
Plant ID:100506	11142766	Detected but not quantified	KNApSAcK
Plant ID:100514	74711	Detected but not quantified	KNApSAcK
Plant ID:100514	1549095	Detected but not quantified	KNApSAcK
Plant ID:100514	10084256	Detected but not quantified	KNApSAcK
Plant ID:1006352	3220	Detected but not quantified	KNApSAcK
Plant ID:1006352	10207	Detected but not quantified	KNApSAcK
Plant ID:1006352	10208	Detected but not quantified	KNApSAcK
Plant ID:1006352	100780	Detected but not quantified	KNApSAcK
Plant ID:101992	72	Detected but not quantified	KNApSAcK
Plant ID:101992	135	Detected but not quantified	KNApSAcK
Plant ID:101992	8468	Detected but not quantified	KNApSAcK
Plant ID:101992	10742	Detected but not quantified	KNApSAcK
Plant ID:101992	445858	Detected but not quantified	KNApSAcK
Plant ID:101992	637542	Detected but not quantified	KNApSAcK
Plant ID:101992	689043	Detected but not quantified	KNApSAcK
Plant ID:101992	3702506	Detected but not quantified	KNApSAcK
Plant ID:102211	271	18.000 - 252.000 mg/100 g	DUKE;USDA
Plant ID:102211	305	4.900 - 4.900 mg/100 g	USDA
Plant ID:102211	813	5.000 - 1425.500 mg/100 g	DUKE;USDA
Plant ID:102211	888	10.000 - 253.000 mg/100 g	DUKE;USDA
Plant ID:102211	923	77.500 - 343.000 mg/100 g	DUKE;USDA
Plant ID:102211	938	0.38400 - 5.20000 mg/100 g	KNApSAcK;DUKE;USDA
Plant ID:102211	962	96000.000 - 96100.000 mg/100 g	DUKE;USDA
Plant ID:102211	971	3.400 - 3.400 mg/100 g	DUKE
Plant ID:102211	985	11.000 - 146.500 mg/100 g	DUKE;USDA
Plant ID:102211	988	0.12100 - 0.13300 mg/100 g	USDA
Plant ID:102211	1054	0.03200 - 0.03500 mg/100 g	USDA
Plant ID:102211	1130	0.03400 - 0.04000 mg/100 g	DUKE;USDA
Plant ID:102211	1176	Detected but not quantified	KNApSAcK
Plant ID:102211	5281	5.000 - 66.500 mg/100 g	DUKE;USDA
Plant ID:102211	5570	Detected but not quantified	KNApSAcK
Plant ID:102211	5962	9.000 - 119.750 mg/100 g	DUKE;USDA
