	pubchem-id	disease-id	type
0	5280378	MESH:D002583	therapeutic
1	5280378	MESH:D058186	therapeutic
2	1150	MESH:D014202	marker/mechanism
3	1150	MESH:D012640	marker/mechanism
4	5202	MESH:D010146	therapeutic
5	5202	MESH:D005483	marker/mechanism
6	5202	MESH:D009336	marker/mechanism
7	5202	MESH:D003920	marker/mechanism
8	5202	MESH:D014202	marker/mechanism
9	5202	MESH:D000067877	marker/mechanism
10	5202	MESH:D015140	marker/mechanism
11	5202	MESH:D004487	therapeutic
12	5202	MESH:D020230	marker/mechanism
13	5202	MESH:D001281	marker/mechanism
14	5202	MESH:D007022	marker/mechanism
15	5202	MESH:D001321	marker/mechanism
16	5202	MESH:D006930	marker/mechanism
17	5202	MESH:D008661	marker/mechanism
18	5202	MESH:D005234	marker/mechanism
19	5202	MESH:D005355	marker/mechanism
20	5202	MESH:D004342	marker/mechanism
21	5202	MESH:D004195	marker/mechanism
22	5202	MESH:D006973	marker/mechanism
23	5202	MESH:D043183	marker/mechanism
24	5202	MESH:D001919	therapeutic
25	5202	MESH:D017379	marker/mechanism
26	5202	MESH:D008103	marker/mechanism
27	5202	MESH:D012640	marker/mechanism
28	5202	MESH:D000544	marker/mechanism
29	5202	MESH:D003967	marker/mechanism
30	5202	MESH:D059246	marker/mechanism
31	5202	MESH:D009135	marker/mechanism
32	5202	MESH:D009410	therapeutic
33	5202	MESH:D006976	marker/mechanism
34	5202	MESH:D009422	marker/mechanism
35	5202	MESH:D001022	marker/mechanism
36	5202	MESH:D001049	marker/mechanism
37	5202	MESH:D001008	marker/mechanism
38	5202	MESH:D002389	marker/mechanism
39	5202	MESH:D000648	marker/mechanism
40	5202	MESH:D013226	marker/mechanism
41	5202	MESH:D004487	marker/mechanism
42	5202	MESH:D013276	marker/mechanism
43	5202	MESH:D007859	therapeutic
44	5202	MESH:D008569	therapeutic
45	5202	MESH:D011537	marker/mechanism
46	5202	MESH:D006949	marker/mechanism
47	5202	MESH:D010146	marker/mechanism
48	5202	MESH:D020521	marker/mechanism
49	5202	MESH:D007249	marker/mechanism
50	5202	MESH:D018883	marker/mechanism
51	5202	MESH:D017495	marker/mechanism
52	5202	MESH:D021081	marker/mechanism
53	5202	MESH:D012640	therapeutic
